City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hobyo,SO,77.29,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
10,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
15,Itarema,BR,79.5,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
17,Hilo,US,87.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
20,Pemberton,CA,83.89,overcast clouds,50.3164,-122.8027,Pemberton Valley Lodge
24,Acajutla,SV,82.81,overcast clouds,13.5928,-89.8275,Laureles
25,Jamestown,US,76.59,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
28,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
32,Kalianget,ID,80.17,broken clouds,-7.05,113.9333,Pesanggrahan Garam
40,Russell,US,85.23,clear sky,32.3502,-85.1999,Macs
42,Champerico,GT,90.14,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
48,Kapaa,US,84.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
63,Lompoc,US,88.79,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
65,Tezu,IN,78.53,scattered clouds,27.9167,96.1667,Circuit House
66,Basco,PH,85.24,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
68,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
70,Kavieng,PG,82.71,light rain,-2.5744,150.7967,Nusa Island Retreat
73,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
74,Shunyi,CN,76.95,clear sky,40.125,116.6453,Beijing Mingchen Holiday Hotel
77,Casper,US,90.72,clear sky,42.8666,-106.3131,Ramkota Hotel
78,Bengkulu,ID,76.01,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
79,Portland,US,87.62,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
85,Athens,GR,81.25,clear sky,37.9795,23.7162,Safestay Athens
89,Sompeta,IN,80.26,broken clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
92,Najran,SA,84.85,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
96,Freeport,US,89.58,broken clouds,40.6576,-73.5832,The Freeport Inn and Marina
99,Ourossogui,SN,94.35,scattered clouds,15.6064,-13.3211,Hotel welma
102,Tautira,PF,75.36,light rain,-17.7333,-149.15,Pension Oaoa
103,Kumta,IN,79.45,overcast clouds,14.4167,74.4,Hotel Vaibhav Palace
106,Bogale,MM,76.64,overcast clouds,16.2833,95.4,Ngwe Taung
108,Kirakira,SB,82.35,scattered clouds,-10.4544,161.9205,SanBiz Lodge
110,Kulhudhuffushi,MV,82.18,overcast clouds,6.6221,73.07,Haajy Guest House 1
111,Corinto,GR,80.42,clear sky,37.9407,22.9573,Ephira Hotel
114,Sohag,EG,86.29,clear sky,26.557,31.6948,Civil Registry - Sohag 1
117,Atuona,PF,77.31,clear sky,-9.8,-139.0333,Villa Enata
121,Ermoupolis,GR,75.9,clear sky,37.4423,24.9425,Ploes
125,Bethel,US,84.76,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
127,Cabano,PH,80.4,broken clouds,10.5869,122.7002,The Clara Beach and Guest House (official)
131,Mabaruma,GY,75.49,broken clouds,8.2,-59.7833,Monty Brooms Guest House
135,Rosarito,MX,83.62,few clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
137,Lae,PG,75.87,light rain,-6.7221,146.9847,Phils Hotel
